passengers,year,month
1969169,2019,1
1951842,2019,2
2203647,2019,3
2135867,2019,4
2269401,2019,5
2355497,2019,6
2348056,2019,7
2308374,2019,8
2268741,2019,9
2255817,2019,10
1931553,2019,11
2269335,2019,12
2020157,2020,1
1928437,2020,2
961820,2020,3
25223,2020,4
45432,2020,5
100798,2020,6
262614,2020,7
333429,2020,8
218062,2020,9
196389,2020,10
171020,2020,11
199059,2020,12
180064,2021,1
166614,2021,2
167821,2021,3
154858,2021,4
155158,2021,5
248770,2021,6
422646,2021,7
522456,2021,8
578838,2021,9
772566,2021,10
860625,2021,11
1222445,2021,12
820327,2022,1
830178,2022,2
1079966,2022,3
1131223,2022,4
1321402,2022,5
1478783,2022,6
1565309,2022,7
1435341,2022,8
1475732,2022,9
1461609,2022,10
1291570,2022,11
1688980,2022,12
1459153,2023,1
1448513,2023,2
1623485,2023,3
1407808,2023,4
1544342,2023,5
1589388,2023,6
1614077,2023,7
1522170,2023,8
1508999,2023,9
1537198,2023,10
1399747,2023,11
