year,Quarter,passengers,freight,commercial_flights,gdp,gnp,consumer_price_index
2005,Q1,4998800.0,18100.0,51100.0,47906000000.0,41459000000.0,264.2
2005,Q2,6587700.0,18200.0,62000.0,49539000000.0,41882000000.0,291.2
2005,Q3,7924600.0,27600.0,69500.0,48447000000.0,42619000000.0,335.9
2005,Q4,5919900.0,36400.0,57300.0,51116000000.0,45141000000.0,294.8
2006,Q1,5647600.0,36900.0,55400.0,50975000000.0,44274000000.0,345.6
2006,Q2,7694000.0,36400.0,66000.0,51336000000.0,44897000000.0,303.2
2006,Q3,8963000.0,36300.0,72900.0,51824000000.0,44275000000.0,376.0
2006,Q4,6676700.0,36100.0,61300.0,52699000000.0,47368000000.0,279.1
2007,Q1,6342200.0,34200.0,61900.0,55063000000.0,46955000000.0,349.29999999999995
2007,Q2,8166000.0,35000.0,72300.0,54376000000.0,46116000000.0,349.8
2007,Q3,9487400.0,36100.0,76600.0,53028000000.0,46240000000.0,385.59999999999997
2007,Q4,7033700.0,38200.0,65200.0,55351000000.0,48216000000.0,273.4
2008,Q1,6692600.0,35400.0,65000.0,53554000000.0,46729000000.0,307.2
2008,Q2,8232100.0,34300.0,71800.0,52434000000.0,45293000000.0,308.2
2008,Q3,9247000.0,32100.0,74700.0,52407000000.0,44595000000.0,340.2
2008,Q4,6607800.0,32600.0,61800.0,49656000000.0,43522000000.0,282.7
2009,Q1,5946200.0,28200.0,56800.0,49731000000.0,41656000000.0,280.3
2009,Q2,7228700.0,27600.0,59300.0,49888000000.0,41325000000.0,274.1
2009,Q3,7963800.0,29800.0,61000.0,49609000000.0,41036000000.0,301.7
2009,Q4,5679600.0,31700.0,50300.0,48222000000.0,40986000000.0,269.0
2010,Q1,5003900.0,30200.0,47500.0,49590000000.0,40948000000.0,273.5
2010,Q2,5782300.0,29700.0,49700.0,50325000000.0,41863000000.0,309.6
2010,Q3,7392000.0,32500.0,59000.0,50891000000.0,43631000000.0,344.4
2010,Q4,5173100.0,34100.0,46900.0,49966000000.0,44569000000.0,302.3
2011,Q1,4684500.0,30300.0,47100.0,50487000000.0,41189000000.0,286.0
2011,Q2,6459800.0,29900.0,55300.0,51478000000.0,41830000000.0,357.0
2011,Q3,7269100.0,29100.0,56500.0,51177000000.0,42352000000.0,395.3
2011,Q4,5021800.0,30500.0,44900.0,50201000000.0,41392000000.0,303.4
2012,Q1,4546300.0,30700.0,43500.0,49621000000.0,39661000000.0,320.29999999999995
2012,Q2,6478200.0,30900.0,54800.0,51781000000.0,42476000000.0,348.6
2012,Q3,7367100.0,32300.0,57700.0,51035000000.0,41892000000.0,421.3
2012,Q4,5282700.0,34200.0,46600.0,50643000000.0,42024000000.0,302.9
2013,Q1,4676300.0,31600.0,42700.0,48925000000.0,41239000000.0,313.9
2013,Q2,6747100.0,31500.0,54400.0,50864000000.0,42024000000.0,352.79999999999995
2013,Q3,7719400.0,31500.0,59200.0,53454000000.0,45858000000.0,420.6
2013,Q4,5538600.0,33900.0,47900.0,52223000000.0,46109000000.0,286.5
2014,Q1,4804400.0,30000.0,44300.0,53537000000.0,45298000000.0,320.2
2014,Q2,7278800.0,34200.0,58700.0,55155000000.0,46440000000.0,368.2
2014,Q3,8219000.0,35900.0,62200.0,57461000000.0,49137000000.0,429.0
2014,Q4,6084600.0,39300.0,51700.0,57453000000.0,50423000000.0,283.6
2015,Q1,5541400.0,35300.0,47600.0,68850000000.0,52173000000.0,301.4
2015,Q2,8072500.0,36400.0,61000.0,66559000000.0,55144000000.0,340.7
2015,Q3,9166800.0,38200.0,65000.0,71362000000.0,52987000000.0,431.1
2015,Q4,6878400.0,39600.0,54500.0,71563000000.0,55559000000.0,275.6
2016,Q1,6419200.0,34300.0,52400.0,67559000000.0,56163000000.0,266.4
2016,Q2,8814600.0,36500.0,66500.0,67318000000.0,55467000000.0,314.79999999999995
2016,Q3,9989900.0,37200.0,70800.0,70139000000.0,55108000000.0,393.7
2016,Q4,7518100.0,39000.0,57600.0,78232000000.0,64623000000.0,288.4
2017,Q1,6678600.0,35500.0,53200.0,72391000000.0,56921000000.0,318.5
2017,Q2,9359800.0,38500.0,68000.0,72813000000.0,56019000000.0,372.0
2017,Q3,10524300.0,39600.0,73100.0,80379000000.0,65972000000.0,403.9
2017,Q4,7876200.0,50100.0,59900.0,84038000000.0,67174000000.0,297.7
2018,Q1,6939900.0,38000.0,54700.0,80698000000.0,62264000000.0,334.9
2018,Q2,10031200.0,41800.0,71900.0,81968000000.0,64205000000.0,318.8
2018,Q3,11131100.0,40500.0,76300.0,86184000000.0,68383000000.0,363.0
2018,Q4,8419100.0,36900.0,63400.0,86999000000.0,65872000000.0,261.8
2019,Q1,7435600.0,32600.0,58000.0,84152000000.0,64719000000.0,295.3
2019,Q2,10479700.0,33800.0,73800.0,85519000000.0,64285000000.0,327.0
2019,Q3,11597300.0,37600.0,78800.0,91617000000.0,71688000000.0,348.6
2019,Q4,8541000.0,41800.0,63000.0,92353000000.0,73248000000.0,274.1
