date,passengers
2009-01-01,2815469
2009-02-01,2970471
2009-03-01,3473929
2009-04-01,3359345
2009-05-01,3591625
2009-06-01,4058364
2009-07-01,3742203
2009-08-01,3729426
2009-09-01,3822010
2009-10-01,3941552
2009-11-01,3500525
2009-12-01,2987147
2010-01-01,2976217
2010-02-01,3141165
2010-03-01,3670102
2010-04-01,2621017
2010-05-01,3838538
2010-06-01,4248328
2010-07-01,4083631
2010-08-01,4153489
2010-09-01,4195915
2010-10-01,4248811
2010-11-01,3688880
2010-12-01,3180847
2011-01-01,3202813
2011-02-01,3296594
2011-03-01,3958378
2011-04-01,3782542
2011-05-01,4337789
2011-06-01,4590667
2011-07-01,4342126
2011-08-01,4330199
2011-09-01,4506844
2011-10-01,4536350
2011-11-01,4004452
2011-12-01,3443844
2012-01-01,3487787
2012-02-01,3713202
2012-03-01,4278942
2012-04-01,3931745
2012-05-01,4603806
2012-06-01,4680662
2012-07-01,4704408
2012-08-01,4640522
2012-09-01,4696243
2012-10-01,4755546
2012-11-01,4230618
2012-12-01,3527115
2013-01-01,3595275
2013-02-01,3762550
2013-03-01,4142357
2013-04-01,4441687
2013-05-01,4654987
2013-06-01,5086252
2013-07-01,5048117
2013-08-01,4860569
2013-09-01,4930735
2013-10-01,4929482
2013-11-01,4268526
2013-12-01,3701650
2014-01-01,3757038
2014-02-01,3797363
2014-03-01,4413186
2014-04-01,4465600
2014-05-01,4730339
2014-06-01,5381363
2014-07-01,5079386
2014-08-01,4910887
2014-09-01,4974852
2014-10-01,4965948
2014-11-01,4215740
2014-12-01,3689770
2015-01-01,3588007
2015-02-01,3772034
2015-03-01,4342042
2015-04-01,4326925
2015-05-01,4708680
2015-06-01,5265599
2015-07-01,5120928
2015-08-01,4918643
2015-09-01,4940121
2015-10-01,4904037
2015-11-01,4297713
2015-12-01,3696847
2016-01-01,3655741
2016-02-01,3992195
2016-03-01,4332112
2016-04-01,4313399
2016-05-01,4799663
2016-06-01,5214473
2016-07-01,4993535
2016-08-01,4952388
2016-09-01,4986590
2016-10-01,4945894
2016-11-01,4253205
2016-12-01,3805048
2017-01-01,3795215
2017-02-01,3897570
2017-03-01,4595431
2017-04-01,4391522
2017-05-01,4883670
2017-06-01,5361653
2017-07-01,5215130
2017-08-01,5139213
2017-09-01,5066428
2017-10-01,5084813
2017-11-01,4396300
2017-12-01,3873985
2018-01-01,3884181
2018-02-01,4022950
2018-03-01,4537328
2018-04-01,4714991
2018-05-01,5003993
2018-06-01,5373049
2018-07-01,5407849
2018-08-01,5307669
2018-09-01,5187610
2018-10-01,5185529
2018-11-01,4532429
2018-12-01,3967458
2019-01-01,3997007
2019-02-01,4074339
2019-03-01,4746186
2019-04-01,4477903
2019-05-01,4929958
2019-06-01,5491295
2019-07-01,5386889
2019-08-01,5252932
2019-09-01,5292658
2019-10-01,5237719
2019-11-01,4406498
2019-12-01,4041529
2020-01-01,4029457
2020-02-01,4109019
2020-03-01,2093802
2020-04-01,409199
2020-05-01,633255
2020-06-01,1139800
2020-07-01,1978476
2020-08-01,1867529
2020-09-01,1672087
2020-10-01,1694302
2020-11-01,967766
2020-12-01,1203154
2021-01-01,880551
2021-02-01,765342
2021-03-01,969406
2021-04-01,908580
2021-05-01,1177269
2021-06-01,1673427
2021-07-01,2571312
2021-08-01,2694232
2021-09-01,3039392
2021-10-01,3710193
2021-11-01,3338892
2021-12-01,2610849
2022-01-01,1990638
2022-02-01,2389607
2022-03-01,3507830
2022-04-01,4033441
2022-05-01,4564299
2022-06-01,5009802
2022-07-01,4555839
2022-08-01,4874254
2022-09-01,4858044
2022-10-01,4843129
2022-11-01,3920493
2022-12-01,3610696
2023-01-01,3410594
2023-02-01,3484337
2023-03-01,4245146
2023-04-01,4083769
2023-05-01,4655305
2023-06-01,5130038
2023-07-01,5211499
2023-08-01,5009727
2023-09-01,4856857
2023-10-01,4900156
