year,Dublin,Cork,Kerry,Knock,Shannon,All
2023,29616952.57087274,2052648.8259032883,303448.2463210854,735745.5357126582,1433478.496310988,33010031.488908403
2024,40079582.4019814,2637204.2910326268,381252.66894927394,937250.2276774014,1753049.526085413,43990588.565901235
2025,42562413.70689808,2720130.061609128,390222.77108700183,975057.4904519211,1768997.2207403777,46199429.01960184
2026,45045245.01181476,2803055.832185629,399192.87322472973,1012864.7532264409,1784944.915395342,48407376.050042845
2027,47528076.31673144,2885981.60276213,408162.9753624576,1050672.0160009605,1800892.6100503067,50614953.62442297
2028,50010907.62164812,2968907.373338631,417133.0775001855,1088479.2787754803,1816840.304705271,52822378.418159135
2029,52493738.9265648,3051833.1439151317,426103.1796379134,1126286.54155,1832787.9993602356,55029740.032731
2030,54976570.23148148,3134758.914491632,435073.2817756413,1164093.8043245198,1848735.6940152,57237075.520912126
2031,4173654.1368090217,209734.04608575255,26716.71038984959,73855.92414990504,103691.02962074337,4237204.356448142
